TipusCasData,ComarcaCodi,ComarcaDescripcio,MunicipiCodi,MunicipiDescripcio,SexeCodi,SexeDescripcio,TipusCasDescripcio,NumCasos
24/04/2020,41,Vallès Oriental,08136,Montornès del Vallès,0,Home,Sospitós,3
24/04/2020,41,Vallès Oriental,08046,Cardedeu,1,Dona,Sospitós,1
24/04/2020,21,Maresme,08155,Palafolls,0,Home,Sospitós,1
24/04/2020,14,Berguedà ,08099,Guardiola de Berguedà,1,Dona,Sospitós,1
24/04/2020,11,Baix Llobregat,08211,Sant Feliu de Llobregat,1,Dona,Sospitós,3
24/04/2020,07,Bages,08113,Manresa,0,Home,Sospitós,4
24/04/2020,34,Selva,17033,Caldes de Malavella,1,Dona,Sospitós,2
24/04/2020,06,Anoia,08102,Igualada,1,Dona,Sospitós,3
24/04/2020,03,Alt Penedès,08091,Gelida,1,Dona,Sospitós,2
24/04/2020,10,Baix Empordà ,17160,Sant Feliu de Guíxols,1,Dona,Sospitós,2
24/04/2020,22,Montsià ,43136,Sant Carles de la Ràpita,0,Home,Sospitós,1
24/04/2020,10,Baix Empordà ,17013,Begur,1,Dona,Positiu,1
24/04/2020,39,Aran,25121,Les,0,Home,Sospitós,1
24/04/2020,24,Osona,08298,Vic,1,Dona,Sospitós,33
24/04/2020,02,Alt Empordà ,17062,L'Escala,1,Dona,Sospitós,2
24/04/2020,13,Barcelonès,08101,L'Hospitalet de Llobregat,1,Dona,Sospitós,30
24/04/2020,24,Osona,08247,Santa Eulàlia de Riuprimer,1,Dona,Sospitós,2
24/04/2020,11,Baix Llobregat,08200,Sant Boi de Llobregat,0,Home,Sospitós,3
24/04/2020,08,Baix Camp,43162,Vandellòs i l'Hospitalet de l'Infant,0,Home,Sospitós,1
24/04/2020,20,Gironès,17079,Girona,0,Home,Positiu,2
24/04/2020,20,Gironès,17002,Aiguaviva,1,Dona,Sospitós,1
24/04/2020,23,Noguera,25240,Vallfogona de Balaguer,0,Home,Sospitós,2
24/04/2020,18,Garrigues,25029,Arbeca,1,Dona,Sospitós,1
24/04/2020,20,Gironès,17172,Sant Martí de Llémena,0,Home,Sospitós,1
24/04/2020,34,Selva,17180,Santa Coloma de Farners,1,Dona,Sospitós,3
24/04/2020,03,Alt Penedès,08227,Sant Martí Sarroca,0,Home,Sospitós,1
24/04/2020,11,Baix Llobregat,08073,Cornellà de Llobregat,1,Dona,Sospitós,6
24/04/2020,11,Baix Llobregat,08244,Santa Coloma de Cervelló,1,Dona,Sospitós,3
24/04/2020,40,Vallès Occidental,08223,Sant Llorenç Savall,1,Dona,Sospitós,1
24/04/2020,03,Alt Penedès,08236,Sant Quintí de Mediona,1,Dona,Sospitós,1
24/04/2020,31,Ripollès,17080,Gombrèn,1,Dona,Sospitós,1
24/04/2020,24,Osona,08246,Santa Eugènia de Berga,1,Dona,Sospitós,1
24/04/2020,03,Alt Penedès,08249,Santa Fe del Penedès,0,Home,Sospitós,1
24/04/2020,24,Osona,08201,Sant Boi de Lluçanès,1,Dona,Sospitós,29
24/04/2020,17,Garraf,08074,Cubelles,1,Dona,Sospitós,1
24/04/2020,10,Baix Empordà ,17118,Palamós,0,Home,Sospitós,9
24/04/2020,21,Maresme,08003,Alella,1,Dona,Positiu,1
24/04/2020,28,Pla de l'Estany,17015,Banyoles,0,Home,Positiu,5
24/04/2020,10,Baix Empordà ,17034,Calonge i Sant Antoni,0,Home,Positiu,1
24/04/2020,33,Segrià ,25019,Almacelles,1,Dona,Positiu,1
24/04/2020,11,Baix Llobregat,08244,Santa Coloma de Cervelló,0,Home,Sospitós,1
24/04/2020,40,Vallès Occidental,08180,Ripollet,1,Dona,Sospitós,5
24/04/2020,,,,No classificat,1,Dona,Sospitós,37
24/04/2020,40,Vallès Occidental,08156,Palau-Solità i Plegamans,1,Dona,Positiu,1
24/04/2020,34,Selva,17146,Riells i Viabrea,0,Home,Sospitós,5
24/04/2020,24,Osona,08149,Olost,1,Dona,Sospitós,1
24/04/2020,10,Baix Empordà ,17110,Mont-Ras,0,Home,Sospitós,4
24/04/2020,24,Osona,08201,Sant Boi de Lluçanès,0,Home,Sospitós,7
24/04/2020,06,Anoia,08102,Igualada,0,Home,Positiu,1
24/04/2020,31,Ripollès,17147,Ripoll,0,Home,Sospitós,1
24/04/2020,34,Selva,17103,Maçanet de la Selva,1,Dona,Sospitós,1
24/04/2020,11,Baix Llobregat,08056,Castelldefels,0,Home,Sospitós,3
24/04/2020,02,Alt Empordà ,17066,Figueres,0,Home,Sospitós,10
24/04/2020,06,Anoia,08161,Piera,0,Home,Sospitós,1
24/04/2020,34,Selva,17095,Lloret de Mar,0,Home,Sospitós,2
24/04/2020,24,Osona,08247,Santa Eulàlia de Riuprimer,1,Dona,Positiu,1
24/04/2020,28,Pla de l'Estany,17218,Vilademuls,0,Home,Sospitós,1
24/04/2020,21,Maresme,08126,Montgat,0,Home,Sospitós,1
24/04/2020,11,Baix Llobregat,08001,Abrera,1,Dona,Sospitós,1
24/04/2020,21,Maresme,08121,Mataró,0,Home,Sospitós,16
24/04/2020,07,Bages,08182,El Pont de Vilomara i Rocafort,0,Home,Sospitós,1
24/04/2020,19,Garrotxa,17185,Sant Joan Les Fonts,1,Dona,Sospitós,2
24/04/2020,,,,No classificat,0,Home,Positiu,4
24/04/2020,06,Anoia,08161,Piera,1,Dona,Sospitós,6
24/04/2020,24,Osona,08129,Muntanyola,1,Dona,Sospitós,2
24/04/2020,13,Barcelonès,08245,Santa Coloma de Gramenet,1,Dona,Sospitós,11
24/04/2020,21,Maresme,08197,Sant Andreu de Llavaneres,0,Home,Positiu,1
24/04/2020,07,Bages,08038,Callús,0,Home,Sospitós,1
24/04/2020,40,Vallès Occidental,08252,Barberà del Vallès,0,Home,Sospitós,2
24/04/2020,33,Segrià ,25232,Torres del Segre,1,Dona,Sospitós,1
24/04/2020,19,Garrotxa,17207,La Vall d'En Bas,0,Home,Sospitós,2
24/04/2020,02,Alt Empordà ,17012,Avinyonet de Puigventós,0,Home,Sospitós,1
24/04/2020,40,Vallès Occidental,08051,Castellar del Vallès,0,Home,Sospitós,1
24/04/2020,20,Gironès,17089,Llagostera,0,Home,Sospitós,1
24/04/2020,40,Vallès Occidental,08054,Castellbisbal,1,Dona,Sospitós,3
24/04/2020,09,Baix Ebre,43155,Tortosa,1,Dona,Sospitós,1
24/04/2020,39,Aran,25121,Les,0,Home,Positiu,2
24/04/2020,32,Segarra,25072,Cervera,1,Dona,Positiu,1
24/04/2020,10,Baix Empordà ,17034,Calonge i Sant Antoni,0,Home,Sospitós,10
24/04/2020,40,Vallès Occidental,08184,Rubí,0,Home,Sospitós,1
24/04/2020,32,Segarra,25192,Sant Guim de Freixenet,0,Home,Positiu,1
24/04/2020,09,Baix Ebre,43904,l'Aldea,1,Dona,Sospitós,1
24/04/2020,08,Baix Camp,43042,Castellvell del Camp,1,Dona,Positiu,1
24/04/2020,21,Maresme,08282,Tiana,1,Dona,Sospitós,1
24/04/2020,02,Alt Empordà ,17005,El Far d'Empordà,0,Home,Positiu,1
24/04/2020,16,Conca de Barberà ,43105,Les Piles,1,Dona,Sospitós,1
24/04/2020,23,Noguera,25034,Artesa de Segre,0,Home,Sospitós,1
24/04/2020,30,Ribera d'Ebre,43093,Móra d'Ebre,0,Home,Positiu,1
24/04/2020,19,Garrotxa,17098,Maià de Montcal,0,Home,Sospitós,1
24/04/2020,10,Baix Empordà ,17191,Serra de Daró,0,Home,Sospitós,1
24/04/2020,11,Baix Llobregat,08200,Sant Boi de Llobregat,1,Dona,Sospitós,8
24/04/2020,13,Barcelonès,08019,Barcelona,0,Home,Sospitós,133
24/04/2020,02,Alt Empordà ,17136,Pontós,1,Dona,Positiu,1
24/04/2020,11,Baix Llobregat,08020,Begues,1,Dona,Sospitós,1
24/04/2020,21,Maresme,08029,Cabrera de Mar,0,Home,Sospitós,2
24/04/2020,34,Selva,17233,Vilobí d'Onyar,1,Dona,Sospitós,1
